duplex_id,cell_line,timepoint_hrs,replicate,ic50_nM,ic50_unit_original,transfection_method,target_gene_name,patent_id,source_file
AD-57553.1,Hep3B,,,0.012,nM,,APOC3,EP4744669,EP4744669NWA2_table_07_T7_in_vitro_tables.csv
AD-57544.1,Hep3B,,,0.022,nM,,APOC3,EP4744669,EP4744669NWA2_table_07_T7_in_vitro_tables.csv
AD-57551.1,Hep3B,,,0.021,nM,,APOC3,EP4744669,EP4744669NWA2_table_07_T7_in_vitro_tables.csv
AD-57547.1,Hep3B,,,0.044,nM,,APOC3,EP4744669,EP4744669NWA2_table_07_T7_in_vitro_tables.csv
AD-57555.1,Hep3B,,,0.075,nM,,APOC3,EP4744669,EP4744669NWA2_table_07_T7_in_vitro_tables.csv
AD-57534.1,Hep3B,,,0.142,nM,,APOC3,EP4744669,EP4744669NWA2_table_07_T7_in_vitro_tables.csv
AD-57549.1,Hep3B,,,0.871,nM,,APOC3,EP4744669,EP4744669NWA2_table_07_T7_in_vitro_tables.csv
AD-57527.1,Hep3B,,,0.209,nM,,APOC3,EP4744669,EP4744669NWA2_table_07_T7_in_vitro_tables.csv
AD-57533.1,Hep3B,,,1.425,nM,,APOC3,EP4744669,EP4744669NWA2_table_07_T7_in_vitro_tables.csv
AD-57538.1,Hep3B,,,0.177,nM,,APOC3,EP4744669,EP4744669NWA2_table_07_T7_in_vitro_tables.csv
AD-57559.1,Hep3B,,,0.395,nM,,APOC3,EP4744669,EP4744669NWA2_table_07_T7_in_vitro_tables.csv
AD-58925.1,Hep3B,,,0.13,nM,,APOC3,EP4744669,EP4744669NWA2_table_07_T7_in_vitro_tables.csv
AD-58911.1,Hep3B,,,0.09,nM,,APOC3,EP4744669,EP4744669NWA2_table_07_T7_in_vitro_tables.csv
AD-58924.1,Hep3B,,,0.08,nM,,APOC3,EP4744669,EP4744669NWA2_table_07_T7_in_vitro_tables.csv
AD-58933.1,Hep3B,,,0.39,nM,,APOC3,EP4744669,EP4744669NWA2_table_07_T7_in_vitro_tables.csv
AD-58922.1,Hep3B,,,0.09,nM,,APOC3,EP4744669,EP4744669NWA2_table_07_T7_in_vitro_tables.csv
AD-58916.1,Hep3B,,,0.4,nM,,APOC3,EP4744669,EP4744669NWA2_table_07_T7_in_vitro_tables.csv
AD-58935.1,Hep3B,,,0.62,nM,,APOC3,EP4744669,EP4744669NWA2_table_07_T7_in_vitro_tables.csv
AD-58920.1,Hep3B,,,0.3,nM,,APOC3,EP4744669,EP4744669NWA2_table_07_T7_in_vitro_tables.csv
AD-58918.1,Hep3B,,,0.97,nM,,APOC3,EP4744669,EP4744669NWA2_table_07_T7_in_vitro_tables.csv
AD-58917.1,Hep3B,,,1.78,nM,,APOC3,EP4744669,EP4744669NWA2_table_07_T7_in_vitro_tables.csv
AD-58914.1,Hep3B,,,3.2,nM,,APOC3,EP4744669,EP4744669NWA2_table_07_T7_in_vitro_tables.csv
